Gene,Annotation,Swiss-Prot Entry name,AC ,EcoGene accession number,Length ,Gene name and synonyms,b_num,jw_num
miaB,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase,MIAB_ECOLI,P0AEI1,EG13657,474,miaB; yleA,b0661, JW0658
dnaB,Replicative DNA helicase,DNAB_ECOLI,P0ACB0,EG10236,471,dnaB; groP; grpA,b4052, JW4012
mepM,Murein DD-endopeptidase MepM,MEPM_ECOLI,P0AFS9,EG10013,440,mepM; yebA,b1856, JW5304
ylaC,Inner membrane protein YlaC,YLAC_ECOLI,P0AAS0,EG14238,156,ylaC,b0458, JW5063
cmoA,Carboxy-S-adenosyl-L-methionine synthase,CMOA_ECOLI,P76290,EG14033,247,cmoA; yecO,b1870, JW1859
lepA,Elongation factor 4,LEPA_ECOLI,P60785,EG10529,599,lepA,b2569, JW2553
der,GTPase Der,DER_ECOLI,P0A6P5,EG14207,490,der; engA; yfgK,b2511, JW5403
asnS,Asparagine--tRNA ligase,SYN_ECOLI,P0A8M0,EG10094,466,asnS; tss,b0930, JW0913
carB,Carbamoyl-phosphate synthase large chain,CARB_ECOLI,P00968,EG10135,1073,carB; pyrA,b0033, JW0031
rcsF,Outer membrane lipoprotein RcsF,RCSF_ECOLI,P69411,EG11502,134,rcsF,b0196, JW0192
secE,Protein translocase subunit SecE,SECE_ECOLI,P0AG96,EG10939,127,secE; prlG,b3981, JW3944
ytfP,Gamma-glutamylcyclotransferase family protein YtfP,YTFP_ECOLI,P0AE48,EG12516,113,ytfP,b4222, JW4181
xanQ,Xanthine permease XanQ,XANQ_ECOLI,P67444,EG13065,466,xanQ; ygfO,b2882, JW2850
trxA,Thioredoxin 1,THIO_ECOLI,P0AA25,EG11031,109,trxA; fipA; tsnC,b3781, JW5856
ygaM,putative protein YgaM,YGAM_ECOLI,P0ADQ7,EG13285,109,ygaM,b2672, JW2647
glnK,Nitrogen regulatory protein P-II 2,GLNK_ECOLI,P0AC55,EG12191,112,glnK; ybaI,b0450, JW0440
chbB,"PTS system N,N'-diacetylchitobiose-specific EIIB component",PTQB_ECOLI,P69795,EG10140,106,chbB; celA,b1738, JW1727
murC,UDP-N-acetylmuramate--L-alanine ligase,MURC_ECOLI,P17952,EG10619,491,murC,b0091, JW0089
speB,Agmatinase,SPEB_ECOLI,P60651,EG10960,306,speB,b2937, JW2904
ompR,Transcriptional regulatory protein OmpR,OMPR_ECOLI,P0AA16,EG10672,239,ompR; kmt; ompB,b3405, JW3368
groL,60 kDa chaperonin,CH60_ECOLI,P0A6F5,EG10599,548,groL; groEL; mopA,b4143, JW4103
ghxP,Guanine/hypoxanthine permease GhxP,GHXP_ECOLI,P0AF52,EG11939,449,ghxP; yjcD,b4064, JW4025
moaB,Molybdenum cofactor biosynthesis protein B,MOAB_ECOLI,P0AEZ9,EG11596,170,moaB; chlA2,b0782, JW0765
argS,Arginine--tRNA ligase,SYR_ECOLI,P11875,EG10071,577,argS,b1876, JW1865
manY,PTS system mannose-specific EIIC component,PTNC_ECOLI,P69801,EG10568,266,manY; pel; ptsP,b1818, JW1807
citE,Citrate lyase subunit beta,CITE_ECOLI,P0A9I1,EG13542,302,citE; ybdW,b0616, JW0608
tamA,Translocation and assembly module subunit TamA,TAMA_ECOLI,P0ADE4,EG12513,577,tamA; yftM; ytfM,b4220, JW4179
ppnN,Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase,PPNN_ECOLI,P0ADR8,EG12373,454,ppnN; ygdH,b2795, JW2766
ybhR,putative multidrug ABC transporter permease YbhR,YBHR_ECOLI,P0AFP9,EG13674,368,ybhR,b0792, JW5803
nuoB,NADH-quinone oxidoreductase subunit B,NUOB_ECOLI,P0AFC7,EG12083,220,nuoB,b2287, JW5875
cpdA,"3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA",CPDA_ECOLI,P0AEW4,EG12187,275,cpdA; icc,b3032, JW3000
murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,MURA_ECOLI,P0A749,EG11358,419,murA; murZ,b3189, JW3156
hslR,Heat shock protein 15,HSLR_ECOLI,P0ACG8,EG12929,133,hslR; yrfH,b3400, JW3363
pyrI,Aspartate carbamoyltransferase regulatory chain,PYRI_ECOLI,P0A7F3,EG10811,153,pyrI,b4244, JW4203
thiL,Thiamine-monophosphate kinase,THIL_ECOLI,P0AGG0,EG20227,325,thiL,b0417, JW0407
guaD,Guanine deaminase,GUAD_ECOLI,P76641,EG13066,439,guaD; ygfP,b2883, JW5466
ynjB,Protein YnjB,YNJB_ECOLI,P76223,EG14004,388,ynjB,b1754, JW5284
purC,Phosphoribosylaminoimidazole-succinocarboxamide synthase,PUR7_ECOLI,P0A7D7,EG10791,237,purC,b2476, JW2461
alaC,Glutamate-pyruvate aminotransferase AlaC,ALAC_ECOLI,P77434,EG14198,412,alaC; yfdZ,b2379, JW2376
eptB,Kdo(2)-lipid A phosphoethanolamine 7''-transferase,EPTB_ECOLI,P37661,EG12267,563,eptB; yhjW,b3546, JW5660
adeP,Adenine permease AdeP,ADEP_ECOLI,P31466,EG11724,445,adeP; purP; yieG,b3714, JW3692
rplA,50S ribosomal protein L1,RL1_ECOLI,P0A7L0,EG10864,234,rplA,b3984, JW3947
nrdB,Ribonucleoside-diphosphate reductase 1 subunit beta,RIR2_ECOLI,P69924,EG10661,376,nrdB; ftsB,b2235, JW2229
hemB,Delta-aminolevulinic acid dehydratase,HEM2_ECOLI,P0ACB2,EG10428,324,hemB; ncf,b0369, JW0361
rimK,Ribosomal protein S6--L-glutamate ligase,RIMK_ECOLI,P0C0U4,EG10852,300,rimK,b0852, JW0836
sohB,putative protease SohB,SOHB_ECOLI,P0AG14,EG10956,349,sohB,b1272, JW1264
mltC,Membrane-bound lytic murein transglycosylase C,MLTC_ECOLI,P0C066,EG12986,359,mltC; yggZ,b2963, JW5481
garR,2-hydroxy-3-oxopropionate reductase,GARR_ECOLI,P0ABQ2,EG11176,294,garR; yhaE,b3125, JW5526
sapF,Putrescine export system ATP-binding protein SapF,SAPF_ECOLI,P0AAH8,EG12305,268,sapF,b1290, JW1283
ygiC,Putative acid--amine ligase YgiC,YGIC_ECOLI,P0ADT5,EG11165,386,ygiC,b3038, JW3006
tdcF,Putative reactive intermediate deaminase TdcF,TDCF_ECOLI,P0AGL2,EG12757,129,tdcF; yhaR,b3113, JW5521
torR,TorCAD operon transcriptional regulatory protein TorR,TORR_ECOLI,P38684,EG12615,230,torR,b0995, JW0980
accC,Biotin carboxylase,ACCC_ECOLI,P24182,EG10276,449,accC; fabG,b3256, JW3224
dtpA,Dipeptide and tripeptide permease A,DTPA_ECOLI,P77304,EG13939,500,dtpA; tppB; ydgR,b1634, JW1626
ilvC,Ketol-acid reductoisomerase (NADP(+)),ILVC_ECOLI,P05793,EG10495,491,ilvC,b3774, JW3747
ynjC,Inner membrane ABC transporter permease protein YnjC,YNJC_ECOLI,P76224,EG14005,511,ynjC,b1755, JW5285
sdhA,Succinate dehydrogenase flavoprotein subunit,SDHA_ECOLI,P0AC41,EG10931,588,sdhA,b0723, JW0713
lpdA,Dihydrolipoyl dehydrogenase,DLDH_ECOLI,P0A9P0,EG10543,474,lpdA; lpd,b0116, JW0112
pgi,Glucose-6-phosphate isomerase,G6PI_ECOLI,P0A6T1,EG10702,549,pgi,b4025, JW3985
grxB,Glutaredoxin 2,GLRX2_ECOLI,P0AC59,EG12688,215,grxB,b1064, JW1051
pstC,Phosphate transport system permease protein PstC,PSTC_ECOLI,P0AGH8,EG10784,319,pstC; phoW,b3727, JW3705
gdhA,NADP-specific glutamate dehydrogenase,DHE4_ECOLI,P00370,EG10372,447,gdhA,b1761, JW1750
uvrD,DNA helicase II,UVRD_ECOLI,P03018,EG11064,720,uvrD; mutU; pdeB; rad; recL,b3813, JW3786
nlpI,Lipoprotein NlpI,NLPI_ECOLI,P0AFB1,EG12371,294,nlpI; yhbM,b3163, JW3132
ndh,NADH dehydrogenase,DHNA_ECOLI,P00393,EG10649,434,ndh,b1109, JW1095
folE,GTP cyclohydrolase 1,GCH1_ECOLI,P0A6T5,EG11375,222,folE,b2153, JW2140
gldA,Glycerol dehydrogenase,GLDA_ECOLI,P0A9S5,EG11904,367,gldA,b3945, JW5556
tdcC,Threonine/serine transporter TdcC,TDCC_ECOLI,P0AAD8,EG10991,443,tdcC,b3116, JW3087
upp,Uracil phosphoribosyltransferase,UPP_ECOLI,P0A8F0,EG11332,208,upp; uraP,b2498, JW2483
atpB,ATP synthase subunit a,ATP6_ECOLI,P0AB98,EG10099,271,atpB; papD; uncB,b3738, JW3716
adiC,Arginine/agmatine antiporter,ADIC_ECOLI,P60061,EG12462,445,adiC; aniC; yjdD; yjdE,b4115, JW4076
dadA,D-amino acid dehydrogenase,DADA_ECOLI,P0A6J5,EG11407,432,dadA; dadR,b1189, JW1178
gloA,Lactoylglutathione lyase,LGUL_ECOLI,P0AC81,EG13421,135,gloA,b1651, JW1643
nrfA,Cytochrome c-552,NRFA_ECOLI,P0ABK9,EG11781,478,nrfA,b4070, JW4031
ffh,Signal recognition particle protein,SRP54_ECOLI,P0AGD7,EG10300,453,ffh,b2610, JW5414
nirC,Nitrite transporter NirC,NIRC_ECOLI,P0AC26,EG10654,268,nirC,b3367, JW3330
lldP,L-lactate permease,LLDP_ECOLI,P33231,EG11961,551,lldP; lctP,b3603, JW3578
hcp,Hydroxylamine reductase,HCP_ECOLI,P75825,EG13692,550,hcp; ybjW,b0873, JW0857
dapF,Diaminopimelate epimerase,DAPF_ECOLI,P0A6K1,EG10209,274,dapF,b3809, JW5592
galP,Galactose-proton symporter,GALP_ECOLI,P0AEP1,EG12148,464,galP,b2943, JW2910
skp,Chaperone protein Skp,SKP_ECOLI,P0AEU7,EG10455,161,skp; hlpA; ompH,b0178, JW0173
nuoJ,NADH-quinone oxidoreductase subunit J,NUOJ_ECOLI,P0AFE0,EG12090,184,nuoJ,b2280, JW2275
ybgI,GTP cyclohydrolase 1 type 2 ,GCH1L_ECOLI,P0AFP6,EG13305,247,ybgI,b0710, JW0700
lolA,Outer-membrane lipoprotein carrier protein,LOLA_ECOLI,P61316,EG12684,203,lolA; lplA; yzzV,b0891, JW0874
rpsL,30S ribosomal protein S12,RS12_ECOLI,P0A7S3,EG10911,124,rpsL; strA,b3342, JW3304
uxaC,Uronate isomerase,UXAC_ECOLI,P0A8G3,EG12737,470,uxaC; ygjX; ygjY; ygjZ,b3092, JW3063
efp,Elongation factor P,EFP_ECOLI,P0A6N4,EG12099,188,efp,b4147, JW4107
argR,Arginine repressor,ARGR_ECOLI,P0A6D0,EG10070,156,argR; xerA,b3237, JW3206
yhcB,Inner membrane protein YhcB,YHCB_ECOLI,P0ADW3,EG12614,132,yhcB,b3233, JW5539
yidA,Sugar phosphatase YidA,YIDA_ECOLI,P0A8Y5,EG11195,270,yidA,b3697, JW3674
clpB,Chaperone protein ClpB,CLPB_ECOLI,P63284,EG10157,857,clpB; htpM,b2592, JW2573
emrB,Multidrug export protein EmrB,EMRB_ECOLI,P0AEJ0,EG11439,512,emrB,b2686, JW2661
ibpB,Small heat shock protein IbpB,IBPB_ECOLI,P0C058,EG11535,142,ibpB; hslS; htpE,b3686, JW3663
aroL,Shikimate kinase 2,AROL_ECOLI,P0A6E1,EG10082,174,aroL,b0388, JW0379
ruvB,Holliday junction ATP-dependent DNA helicase RuvB,RUVB_ECOLI,P0A812,EG10924,336,ruvB,b1860, JW1849
mreB,Rod shape-determining protein MreB,MREB_ECOLI,P0A9X4,EG10608,347,mreB; envB; rodY,b3251, JW3220
pyrB,Aspartate carbamoyltransferase catalytic subunit,PYRB_ECOLI,P0A786,EG10805,311,pyrB,b4245, JW4204
livJ,Leu/Ile/Val-binding protein,LIVJ_ECOLI,P0AD96,EG10539,367,livJ,b3460, JW3425
aroC,Chorismate synthase,AROC_ECOLI,P12008,EG10075,361,aroC,b2329, JW2326
metQ,D-methionine-binding lipoprotein MetQ,METQ_ECOLI,P28635,EG11504,271,metQ; yaeC,b0197, JW0193
clpP,ATP-dependent Clp protease proteolytic subunit,CLPP_ECOLI,P0A6G7,EG10158,207,clpP; lopP,b0437, JW0427
mscK,Mechanosensitive channel MscK,MSCK_ECOLI,P77338,EG14240,1120,mscK; aefA; kefA,b0465, JW0454
ileS,Isoleucine--tRNA ligase,SYI_ECOLI,P00956,EG10492,938,ileS; ilvS,b0026, JW0024
fadD,Long-chain-fatty-acid--CoA ligase,LCFA_ECOLI,P69451,EG11530,561,fadD; oldD,b1805, JW1794
dacB,D-alanyl-D-alanine carboxypeptidase DacB,DACB_ECOLI,P24228,EG10202,477,dacB,b3182, JW3149
dnaG,DNA primase,DNAG_ECOLI,P0ABS5,EG10239,581,dnaG; dnaP; parB,b3066, JW3038
kbl,2-amino-3-ketobutyrate coenzyme A ligase,KBL_ECOLI,P0AB77,EG10512,398,kbl,b3617, JW3592
tsaE,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,TSAE_ECOLI,P0AF67,EG11757,153,tsaE; yjeE,b4168, JW4126
ftsL,Cell division protein FtsL,FTSL_ECOLI,P0AEN4,EG11086,121,ftsL; mraR; yabD,b0083, JW0081
glmM,Phosphoglucosamine mutase,GLMM_ECOLI,P31120,EG11553,445,glmM; mrsA; yhbF,b3176, JW3143
lpxA,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,LPXA_ECOLI,P0A722,EG10545,262,lpxA,b0181, JW0176
ydhC,Inner membrane transport protein YdhC,YDHC_ECOLI,P37597,EG12141,403,ydhC,b1660, JW1652
mraY,Phospho-N-acetylmuramoyl-pentapeptide-transferase,MRAY_ECOLI,P0A6W3,EG10604,360,mraY; murX,b0087, JW0085
pfkA,ATP-dependent 6-phosphofructokinase isozyme 1,PFKA_ECOLI,P0A796,EG10699,320,pfkA,b3916, JW3887
nuoG,NADH-quinone oxidoreductase subunit G,NUOG_ECOLI,P33602,EG12087,908,nuoG,b2283, JW2278
deoR,Deoxyribose operon repressor,DEOR_ECOLI,P0ACK5,EG10223,252,deoR; nucR,b0840, JW0824
gmhA,Phosphoheptose isomerase,GMHA_ECOLI,P63224,EG13146,192,gmhA; lpcA; tfrA; yafI,b0222, JW0212
moaC,Cyclic pyranopterin monophosphate synthase,MOAC_ECOLI,P0A738,EG11666,161,moaC; chlA3,b0783, JW0766
ftsE,Cell division ATP-binding protein FtsE,FTSE_ECOLI,P0A9R7,EG10340,222,ftsE,b3463, JW3428
sspA,Stringent starvation protein A,SSPA_ECOLI,P0ACA3,EG10977,212,sspA; pog; ssp,b3229, JW3198
uxaA,Altronate dehydratase,UXAA_ECOLI,P42604,EG12734,495,uxaA; ygjW,b3091, JW3062
purM,Phosphoribosylformylglycinamidine cyclo-ligase,PUR5_ECOLI,P08178,EG10798,345,purM; purG,b2499, JW2484
pyrC,Dihydroorotase,PYRC_ECOLI,P05020,EG10806,348,pyrC,b1062, JW1049
glpA,Anaerobic glycerol-3-phosphate dehydrogenase subunit A,GLPA_ECOLI,P0A9C0,EG10391,542,glpA,b2241, JW2235
clsB,Cardiolipin synthase B,CLSB_ECOLI,P0AA84,EG13671,413,clsB; ybhO,b0789, JW0772
yfcA,putative membrane transporter protein YfcA,YFCA_ECOLI,P0AD30,EG11144,269,yfcA,b2327, JW2324
bcr,Bicyclomycin resistance protein,BCR_ECOLI,P28246,EG11419,396,bcr; bicA; bicR; sur; suxA,b2182, JW5363
ftsI,"Peptidoglycan D,D-transpeptidase FtsI",FTSI_ECOLI,P0AD68,EG10341,588,ftsI; pbpB,b0084, JW0082
nfuA,Fe/S biogenesis protein NfuA,NFUA_ECOLI,P63020,EG12935,191,nfuA; gntY; yhgI,b3414, JW3377
pykA,Pyruvate kinase II,KPYK2_ECOLI,P21599,EG10803,480,pykA,b1854, JW1843
waaA,3-deoxy-D-manno-octulosonic acid transferase,KDTA_ECOLI,P0AC75,EG10520,425,waaA; kdtA,b3633, JW3608
truB,tRNA pseudouridine synthase B,TRUB_ECOLI,P60340,EG11177,314,truB; yhbA,b3166, JW3135
hisS,Histidine--tRNA ligase,SYH_ECOLI,P60906,EG10453,424,hisS,b2514, JW2498
ptsN,Nitrogen regulatory protein,PTSN_ECOLI,P69829,EG11682,163,ptsN; rpoP; yhbI,b3204, JW3171
alaA,Glutamate-pyruvate aminotransferase AlaA,ALAA_ECOLI,P0A959,EG14101,405,alaA; yfbQ,b2290, JW2287
rbfA,30S ribosome-binding factor,RBFA_ECOLI,P0A7G2,EG11178,133,rbfA; P15B; yhbB,b3167, JW3136
uhpT,Hexose-6-phosphate:phosphate antiporter,UHPT_ECOLI,P0AGC0,EG11054,463,uhpT,b3666, JW3641
fumA,"Fumarate hydratase class I, aerobic",FUMA_ECOLI,P0AC33,EG10356,548,fumA,b1612, JW1604
ssb,Single-stranded DNA-binding protein,SSB_ECOLI,P0AGE0,EG10976,178,ssb; exrB; lexC,b4059, JW4020
galU,UTP--glucose-1-phosphate uridylyltransferase,GALU_ECOLI,P0AEP3,EG11319,302,galU; ychD,b1236, JW1224
syd,Protein Syd,SYDP_ECOLI,P0A8U0,EG12959,181,syd; ydr,b2793, JW2764
dtpB,Dipeptide and tripeptide permease B,DTPB_ECOLI,P36837,EG12232,489,dtpB; yhiP,b3496, JW3463
gpsA,Glycerol-3-phosphate dehydrogenase [NAD(P)+],GPDA_ECOLI,P0A6S7,EG20091,339,gpsA,b3608, JW3583
proY,Proline-specific permease ProY,PROY_ECOLI,P0AAE2,EG13609,457,proY; yajM,b0402, JW5055
pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PGSA_ECOLI,P0ABF8,EG10706,182,pgsA,b1912, JW1897
ispG,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin),ISPG_ECOLI,P62620,EG10370,372,ispG; gcpE,b2515, JW2499
ppc,Phosphoenolpyruvate carboxylase,CAPP_ECOLI,P00864,EG10756,883,ppc; glu,b3956, JW3928
sthA,Soluble pyridine nucleotide transhydrogenase,STHA_ECOLI,P27306,EG11428,466,sthA; sth; udhA,b3962, JW5551
nuoN,NADH-quinone oxidoreductase subunit N,NUON_ECOLI,P0AFF0,EG12093,485,nuoN,b2276, JW2271
degP,Periplasmic serine endoprotease DegP,DEGP_ECOLI,P0C0V0,EG10463,474,degP; htrA; ptd,b0161, JW0157
dam,DNA adenine methylase,DMA_ECOLI,P0AEE8,EG10204,278,dam,b3387, JW3350
exoX,Exodeoxyribonuclease 10,EXOX_ECOLI,P0AEK0,EG14031,220,exoX; yobC,b1844, JW1833
yejG,putative protein YejG,YEJG_ECOLI,P0AD21,EG12042,114,yejG,b2181, JW2169
hldE,Bifunctional protein HldE,HLDE_ECOLI,P76658,EG13416,477,hldE; rfaE; waaE; yqiF,b3052, JW3024
rplV,50S ribosomal protein L22,RL22_ECOLI,P61175,EG10882,110,rplV; eryB,b3315, JW3277
cyoC,Cytochrome bo(3) ubiquinol oxidase subunit 3,CYOC_ECOLI,P0ABJ3,EG10180,204,cyoC,b0430, JW0420
hns,DNA-binding protein H-NS,HNS_ECOLI,P0ACF8,EG10457,137,hns; bglY; cur; drdX; hnsA; msyA; osmZ; pilG; topS,b1237, JW1225
hyaA,Hydrogenase-1 small chain,MBHS_ECOLI,P69739,EG10468,372,hyaA,b0972, JW0954
pth,Peptidyl-tRNA hydrolase,PTH_ECOLI,P0A7D1,EG10785,194,pth,b1204, JW1195
murD,UDP-N-acetylmuramoylalanine--D-glutamate ligase,MURD_ECOLI,P14900,EG10620,438,murD,b0088, JW0086
tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,TSAD_ECOLI,P05852,EG11171,337,tsaD; gcp; ygjD,b3064, JW3036
ptsP,Phosphoenolpyruvate-dependent phosphotransferase system,PT1P_ECOLI,P37177,EG12188,748,ptsP; ygdF; ygdO,b2829, JW2797
folB,Dihydroneopterin aldolase,FOLB_ECOLI,P0AC16,EG11673,122,folB; ygiG,b3058, JW3030
emtA,Endo-type membrane-bound lytic murein transglycosylase A,EMTA_ECOLI,P0C960,EG13897,203,emtA; mltE; sltZ; ycgP,b1193, JW5821
cysZ,Sulfate transporter CysZ,CYSZ_ECOLI,P0A6J3,EG10003,253,cysZ,b2413, JW2406
argP,HTH-type transcriptional regulator ArgP,ARGP_ECOLI,P0A8S1,EG10490,297,argP; iciA,b2916, JW2883
sapA,Peptide transport periplasmic protein SapA,SAPA_ECOLI,Q47622,EG20254,547,sapA,b1294, JW1287
glnG,DNA-binding transcriptional regulator NtrC,NTRC_ECOLI,P0AFB8,EG10385,469,glnG; glnT; ntrC,b3868, JW3839
mocA,Molybdenum cofactor cytidylyltransferase,MOCA_ECOLI,Q46810,EG13060,192,mocA; ygfJ,b2877, JW2845
mtnN,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,MTNN_ECOLI,P0AF12,EG11090,232,mtnN; mtn; pfs; yadA,b0159, JW0155
tpiA,Triosephosphate isomerase,TPIS_ECOLI,P0A858,EG11015,255,tpiA; tpi,b3919, JW3890
trkH,Trk system potassium uptake protein TrkH,TRKH_ECOLI,P0AFZ7,EG11021,483,trkH,b3849, JW5576
nagC,N-acetylglucosamine repressor,NAGC_ECOLI,P0AF20,EG10636,406,nagC; nagR,b0676, JW0662
fusA,Elongation factor G,EFG_ECOLI,P0A6M8,EG10360,704,fusA; far; fus,b3340, JW3302
argB,Acetylglutamate kinase,ARGB_ECOLI,P0A6C8,EG10064,258,argB,b3959, JW5553
napG,Ferredoxin-type protein NapG,NAPG_ECOLI,P0AAL3,EG12064,231,napG; yojA; yojB,b2205, JW2193
mglC,Galactoside transport system permease protein MglC,MGLC_ECOLI,P23200,EG10594,336,mglC,b2148, JW2135
hybB,putative Ni/Fe-hydrogenase 2 b-type cytochrome subunit,HYBB_ECOLI,P37180,EG11800,392,hybB,b2995, JW5494
pheA,P-protein,PHEA_ECOLI,P0A9J8,EG10707,386,pheA,b2599, JW2580
murG,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,MURG_ECOLI,P17443,EG10623,355,murG,b0090, JW0088
narI,Respiratory nitrate reductase 1 gamma chain,NARI_ECOLI,P11350,EG10640,225,narI; chlI,b1227, JW1218
thrS,Threonine--tRNA ligase,SYT_ECOLI,P0A8M3,EG11001,642,thrS,b1719, JW1709
iscR,HTH-type transcriptional regulator IscR,ISCR_ECOLI,P0AGK8,EG13397,162,iscR; yfhP,b2531, JW2515
artP,Arginine transport ATP-binding protein ArtP,ARTP_ECOLI,P0AAF6,EG11624,242,artP,b0864, JW0848
pepA,Cytosol aminopeptidase,AMPA_ECOLI,P68767,EG10694,503,pepA; carP; xerB,b4260, JW4217
rarA,Replication-associated recombination protein A,RARA_ECOLI,P0AAZ4,EG12690,447,rarA; mgsA; ycaJ,b0892, JW0875
accA,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,ACCA_ECOLI,P0ABD5,EG11647,319,accA,b0185, JW0180
yidC,Membrane protein insertase YidC,YIDC_ECOLI,P25714,EG11197,548,yidC,b3705, JW3683
ppx,Exopolyphosphatase,PPX_ECOLI,P0AFL6,EG11403,513,ppx,b2502, JW2487
pcnB,Poly(A) polymerase I,PCNB_ECOLI,P0ABF1,EG10690,465,pcnB,b0143, JW5808
cyoE,Protoheme IX farnesyltransferase,CYOE_ECOLI,P0AEA5,EG10182,296,cyoE,b0428, JW0418
rluD,Ribosomal large subunit pseudouridine synthase D,RLUD_ECOLI,P33643,EG12098,326,rluD; sfhB; yfiI,b2594, JW2576
asd,Aspartate-semialdehyde dehydrogenase,DHAS_ECOLI,P0A9Q9,EG10088,367,asd; hom,b3433, JW3396
cysS,Cysteine--tRNA ligase,SYC_ECOLI,P21888,EG10196,461,cysS,b0526, JW0515
hslV,ATP-dependent protease subunit HslV,HSLV_ECOLI,P0A7B8,EG11676,176,hslV; htpO; yiiC,b3932, JW3903
xylH,Xylose transport system permease protein XylH,XYLH_ECOLI,P0AGI4,EG12276,393,xylH,b3568, JW3540
potD,Spermidine/putrescine-binding periplasmic protein,POTD_ECOLI,P0AFK9,EG10752,348,potD,b1123, JW1109
ydgI,Putative arginine/ornithine antiporter,ARCD_ECOLI,P0AAE5,EG13930,460,ydgI,b1605, JW1597
glyA,Serine hydroxymethyltransferase,GLYA_ECOLI,P0A825,EG10408,417,glyA,b2551, JW2535
fklB,FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase,FKBB_ECOLI,P0A9L3,EG12503,206,fklB; ytfC,b4207, JW5746
leuS,Leucine--tRNA ligase,SYL_ECOLI,P07813,EG10532,860,leuS,b0642, JW0637
sapC,Putrescine export system permease protein SapC,SAPC_ECOLI,P0AGH5,EG20256,296,sapC,b1292, JW1285
tsf,Elongation factor Ts,EFTS_ECOLI,P0A6P1,EG11033,283,tsf,b0170, JW0165
ubiD,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,UBID_ECOLI,P0AAB4,EG11396,497,ubiD; yigC; yigY,b3843, JW3819
speA,Biosynthetic arginine decarboxylase,SPEA_ECOLI,P21170,EG10959,658,speA,b2938, JW2905
aroB,3-dehydroquinate synthase,AROB_ECOLI,P07639,EG10074,362,aroB,b3389, JW3352
hinT,Purine nucleoside phosphoramidase,HINT_ECOLI,P0ACE7,EG12172,119,hinT; ycfF,b1103, JW1089
epd,D-erythrose-4-phosphate dehydrogenase,E4PD_ECOLI,P0A9B6,EG10368,339,epd; gapB,b2927, JW2894
fabH,3-oxoacyl-[acyl-carrier-protein] synthase 3,FABH_ECOLI,P0A6R0,EG10277,317,fabH,b1091, JW1077
rplO,50S ribosomal protein L15,RL15_ECOLI,P02413,EG10876,144,rplO,b3301, JW3263
mlaF,putative phospholipid import ATP-binding protein MlaF,MLAF_ECOLI,P63386,EG12801,269,mlaF; yrbF,b3195, JW3162
map,Methionine aminopeptidase,MAP1_ECOLI,P0AE18,EG10570,264,map,b0168, JW0163
ridA,2-iminobutanoate/2-iminopropanoate deaminase,RIDA_ECOLI,P0AF93,EG12524,128,ridA; yjgF,b4243, JW5755
lysA,Diaminopimelate decarboxylase,DCDA_ECOLI,P00861,EG10549,420,lysA,b2838, JW2806
malK,Maltose/maltodextrin import ATP-binding protein MalK,MALK_ECOLI,P68187,EG10558,371,malK,b4035, JW3995
frc,Formyl-CoA:oxalate CoA-transferase,FCTA_ECOLI,P69902,EG14145,416,frc; yfdW,b2374, JW2371
dnaN,Beta sliding clamp,DPO3B_ECOLI,P0A988,EG10242,366,dnaN,b3701, JW3678
mdtI,Spermidine export protein MdtI,MDTI_ECOLI,P69210,EG13926,109,mdtI; ydgE,b1599, JW1591
tyrR,Transcriptional regulatory protein TyrR,TYRR_ECOLI,P07604,EG11042,513,tyrR,b1323, JW1316
glnH,Glutamine-binding periplasmic protein,GLNH_ECOLI,P0AEQ3,EG10386,248,glnH,b0811, JW0796
pqiA,Paraquat-inducible protein A,PQIA_ECOLI,P0AFL9,EG12965,417,pqiA; pqi5A,b0950, JW0933
can,Carbonic anhydrase 2,CAN_ECOLI,P61517,EG12319,220,can; cynT2; yadF,b0126, JW0122
ribB,"3,4-dihydroxy-2-butanone 4-phosphate synthase",RIBB_ECOLI,P0A7J0,EG10465,217,ribB; htrP,b3041, JW3009
psiF,Phosphate starvation-inducible protein PsiF,PSIF_ECOLI,P0AFM4,EG11401,106,psiF,b0384, JW5054
galR,HTH-type transcriptional regulator GalR,GALR_ECOLI,P03024,EG10364,343,galR,b2837, JW2805
asnB,Asparagine synthetase B [glutamine-hydrolyzing],ASNB_ECOLI,P22106,EG10092,554,asnB,b0674, JW0660
tgt,Queuine tRNA-ribosyltransferase,TGT_ECOLI,P0A847,EG10996,375,tgt,b0406, JW0396
